fighter,PP Line,DK Line,Difference (PP−DK),Best Bet (DK),Going Distance,Actual,Between Lines,PP Bet Correct,DK Bet Correct
Beneil Dariush,33.5,28.5,5.0,over,+180,,,,
Benoit Saint-Denis,27.5,35.5,-8.0,under,+180,,,,
Leon Edwards,37.5,37.5,0.0,under,−110,,,,
Carlos Prates,37.5,36.5,1.0,over,−110,,,,
Sean Brady,41.5,42.5,-1.0,under,−135,,,,
Michael Morales,40.5,41.5,-1.0,under,−135,,,,
Valentina Shevchenko,69.5,69.5,0.0,under,−250,,,,
Zhang Weili,68.5,67.5,1.0,over,−250,,,,
Jack Della Maddalena,49.5,50.5,-1.0,under,+120,,,,
Islam Makhachev,56.5,56.5,0.0,under,+120,,,,
